               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.082927,            0.089312,                   0,             0.16377,             0.27941,             0.11444,            0.029267,            0.080397,            0.078636,                   0,           0.0087031,           0.0087031,           0.0087031
                 133,            0.079629,            0.068812,                   0,             0.16377,             0.27941,             0.11444,            0.029267,            0.080397,            0.078636,                   0,           0.0086932,           0.0086932,           0.0086932
                 134,            0.084136,            0.090953,                   0,             0.11742,             0.47059,            0.082928,            0.025908,            0.082273,            0.079866,                   0,           0.0086833,           0.0086833,           0.0086833
                 135,             0.08587,            0.096024,                   0,             0.11742,             0.47059,            0.082928,            0.025908,            0.082273,            0.079866,                   0,           0.0086734,           0.0086734,           0.0086734
                 136,            0.085292,            0.080151,                   0,             0.11742,             0.47059,            0.082928,            0.025908,            0.082273,            0.079866,                   0,           0.0086635,           0.0086635,           0.0086635
                 137,            0.081473,            0.083963,                   0,             0.14358,             0.26471,             0.10708,            0.034494,            0.080214,            0.076437,                   0,           0.0086536,           0.0086536,           0.0086536
                 138,            0.082201,            0.090584,                   0,             0.14358,             0.26471,             0.10708,            0.034494,            0.080214,            0.076437,                   0,           0.0086437,           0.0086437,           0.0086437
                 139,            0.075692,            0.073371,                   0,             0.14358,             0.26471,             0.10708,            0.034494,            0.080214,            0.076437,                   0,           0.0086338,           0.0086338,           0.0086338
                 140,            0.081571,            0.085354,                   0,             0.12133,             0.38235,             0.10308,            0.030969,            0.082655,            0.079299,                   0,           0.0086239,           0.0086239,           0.0086239
                 141,            0.079103,            0.083009,                   0,             0.12133,             0.38235,             0.10308,            0.030969,            0.082655,            0.079299,                   0,            0.008614,            0.008614,            0.008614
                 142,            0.085567,            0.093693,                   0,             0.12133,             0.38235,             0.10308,            0.030969,            0.082655,            0.079299,                   0,           0.0086041,           0.0086041,           0.0086041
                 143,            0.083802,            0.077173,                   0,             0.24492,             0.39706,             0.20888,            0.066798,            0.078804,            0.071794,                   0,           0.0085942,           0.0085942,           0.0085942
                 144,            0.081002,            0.093162,                   0,             0.24492,             0.39706,             0.20888,            0.066798,            0.078804,            0.071794,                   0,           0.0085843,           0.0085843,           0.0085843
                 145,             0.08171,            0.091305,                   0,             0.24492,             0.39706,             0.20888,            0.066798,            0.078804,            0.071794,                   0,           0.0085744,           0.0085744,           0.0085744
                 146,            0.082193,            0.091488,                   0,            0.089092,             0.42647,            0.065459,            0.020029,            0.085806,            0.078773,                   0,           0.0085645,           0.0085645,           0.0085645
                 147,            0.083731,              0.1068,                   0,            0.089092,             0.42647,            0.065459,            0.020029,            0.085806,            0.078773,                   0,           0.0085546,           0.0085546,           0.0085546
                 148,            0.085793,            0.078015,                   0,            0.089092,             0.42647,            0.065459,            0.020029,            0.085806,            0.078773,                   0,           0.0085447,           0.0085447,           0.0085447
                 149,            0.083855,            0.094357,                   0,            0.089092,             0.42647,            0.065459,            0.020029,            0.085806,            0.078773,                   0,           0.0085348,           0.0085348,           0.0085348
                 150,            0.079736,            0.077932,                   0,            0.092524,             0.41984,            0.069376,            0.023374,            0.085149,             0.07596,                   0,           0.0085249,           0.0085249,           0.0085249
                 151,            0.079021,            0.075675,                   0,            0.092524,             0.41984,            0.069376,            0.023374,            0.085149,             0.07596,                   0,            0.008515,            0.008515,            0.008515
                 152,             0.08265,            0.096378,                   0,            0.092524,             0.41984,            0.069376,            0.023374,            0.085149,             0.07596,                   0,           0.0085051,           0.0085051,           0.0085051
                 153,            0.077852,            0.089445,                   0,             0.13232,             0.39706,              0.1239,            0.038958,            0.081835,            0.074386,                   0,           0.0084952,           0.0084952,           0.0084952
                 154,            0.079451,            0.082861,                   0,             0.13232,             0.39706,              0.1239,            0.038958,            0.081835,            0.074386,                   0,           0.0084853,           0.0084853,           0.0084853
                 155,            0.076914,            0.081582,                   0,             0.13232,             0.39706,              0.1239,            0.038958,            0.081835,            0.074386,                   0,           0.0084754,           0.0084754,           0.0084754
                 156,            0.080175,            0.092618,                   0,              0.2446,             0.39706,             0.19057,            0.068767,            0.080092,            0.071144,                   0,           0.0084655,           0.0084655,           0.0084655
                 157,             0.08001,             0.08902,                   0,              0.2446,             0.39706,             0.19057,            0.068767,            0.080092,            0.071144,                   0,           0.0084556,           0.0084556,           0.0084556
                 158,             0.07705,            0.086838,                   0,              0.2446,             0.39706,             0.19057,            0.068767,            0.080092,            0.071144,                   0,           0.0084457,           0.0084457,           0.0084457
                 159,            0.071425,            0.069476,                   0,             0.27458,             0.36765,             0.21758,            0.083868,            0.076811,            0.072067,                   0,           0.0084358,           0.0084358,           0.0084358
                 160,            0.075739,            0.085803,                   0,             0.27458,             0.36765,             0.21758,            0.083868,            0.076811,            0.072067,                   0,           0.0084259,           0.0084259,           0.0084259
                 161,            0.080802,             0.10626,                   0,             0.27458,             0.36765,             0.21758,            0.083868,            0.076811,            0.072067,                   0,            0.008416,            0.008416,            0.008416
